time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
11.118,106.3,0.643,49.2,1.1110000000000009,0.643,139.3,49.2,,,,,108.06265151841808,,10.896939994962839,112.13235999999999,,,123.02929999496283,,106.30000000000001,107.02929999496283,,,106.30000000000001,1.1110000000000009
11.138,106.2,0.647,49.6,1.1310000000000002,0.647,139.2,49.6,,,,,107.967793439778,,10.945007932647904,112.03044,,,122.97544793264791,,106.19999999999999,106.97544793264791,,,106.19999999999999,1.1310000000000002
11.158,106.0,0.651,49.6,1.1509999999999998,0.651,139.0,49.6,,,,,107.82939952658704,,10.930331190571481,111.92851999999999,,,122.85885119057147,,106.0,106.85885119057147,,,106.0,1.1509999999999998
11.175,105.9,0.655,49.4,1.168000000000001,0.655,138.9,49.4,,,,,107.66701042156323,,10.884653972150335,111.82659999999998,,,122.71125397215032,,105.9,106.71125397215032,,,105.9,1.168000000000001
11.196,105.8,0.66,49.3,1.189,0.66,138.8,49.3,,,,,107.47633178271798,,10.851289313959207,111.69919999999999,,,122.55048931395919,,105.80000000000001,106.55048931395919,,,105.80000000000001,1.189
11.216,105.7,0.664,49.3,1.2089999999999996,0.664,138.7,49.3,,,,,107.32987441625386,,10.837242341799813,111.59727999999998,,,122.43452234179979,,105.69999999999999,106.43452234179979,,,105.69999999999999,1.2089999999999996
11.236,105.6,0.669,49.3,1.229000000000001,0.669,138.6,49.3,,,,,107.14349241289923,,10.819891713912352,111.46987999999999,,,122.28977171391234,,105.6,106.28977171391234,,,105.6,1.229000000000001
11.258,105.5,0.673,49.4,1.2509999999999994,0.673,138.5,49.4,,,,,107.0034673023615,,10.821573409383511,111.36795999999998,,,122.1895334093835,,105.5,106.1895334093835,,,105.5,1.2509999999999994
11.278,105.4,0.677,49.4,1.2710000000000008,0.677,138.4,49.4,,,,,106.84949026506514,,10.80795887243567,111.26603999999999,,,122.07399887243565,,105.4,106.07399887243565,,,105.4,1.2710000000000008
11.298,105.3,0.681,49.5,1.2910000000000004,0.681,138.3,49.5,,,,,106.70522957796769,,10.809788645236356,111.16412,,,121.97390864523635,,105.30000000000001,105.97390864523635,,,105.30000000000001,1.2910000000000004
11.318,105.2,0.685,49.4,1.311,0.685,138.2,49.4,,,,,106.53427041600864,,10.781157298740327,111.06219999999999,,,121.84335729874032,,105.19999999999999,105.84335729874032,,,105.19999999999999,1.311
11.335,105.1,0.688,49.2,1.3280000000000012,0.688,138.1,49.2,,,,,106.3885047369692,,10.740760908962175,110.98576,,,121.72652090896217,,105.1,105.72652090896217,,,105.1,1.3280000000000012
11.355,105.0,0.693,49.1,1.3480000000000008,0.693,138.0,49.1,,,,,106.17087299705382,,10.709316430170771,110.85835999999999,,,121.56767643017076,,105.0,105.56767643017076,,,105.0,1.3480000000000008
11.376,104.9,0.698,49.2,1.3689999999999998,0.698,137.9,49.2,,,,,105.97494978296956,,10.70850663747913,110.73096,,,121.43946663747913,,104.9,105.43946663747913,,,104.9,1.3689999999999998
11.397,104.8,0.702,49.3,1.3900000000000006,0.702,137.8,49.3,,,,,105.81838551087344,,10.710949074155693,110.62903999999999,,,121.33998907415568,,104.80000000000001,105.33998907415568,,,104.80000000000001,1.3900000000000006
11.418,104.8,0.704,49.3,1.4109999999999996,0.704,137.8,49.3,,,,,105.73262816812525,,10.70464600044289,110.57808,,,121.28272600044289,,104.80000000000001,105.28272600044289,,,104.80000000000001,1.4109999999999996
11.437,104.7,0.707,49.3,1.4299999999999995,0.707,137.7,49.3,,,,,105.60279512057345,,10.695253339118903,110.50164,,,121.1968933391189,,104.69999999999999,105.1968933391189,,,104.69999999999999,1.4299999999999995
11.458,104.6,0.712,49.2,1.4510000000000003,0.712,137.6,49.2,,,,,105.36940088536576,,10.664753991973651,110.37423999999999,,,121.03899399197364,,104.6,105.03899399197364,,,104.6,1.4510000000000003
11.474,104.5,0.715,49.2,1.4670000000000003,0.715,137.5,49.2,,,,,105.2355355577964,,10.655586239859172,110.2978,,,120.95338623985917,,104.5,104.95338623985917,,,104.5,1.4670000000000003
11.494,104.5,0.718,49.3,1.487,0.718,137.5,49.3,,,,,105.1143229393858,,10.661440451686316,110.22135999999999,,,120.88280045168631,,104.5,104.88280045168631,,,104.5,1.487
11.515,104.4,0.721,49.3,1.508000000000001,0.721,137.4,49.3,,,,,104.97767948671772,,10.652387124373766,110.14491999999998,,,120.79730712437375,,104.4,104.79730712437375,,,104.4,1.508000000000001
11.532,104.3,0.724,49.3,1.5250000000000004,0.724,137.3,49.3,,,,,104.83955279309856,,10.643404866491737,110.06848,,,120.71188486649173,,104.30000000000001,104.71188486649173,,,104.30000000000001,1.5250000000000004
11.556,104.3,0.729,49.3,1.5489999999999997,0.729,137.3,49.3,,,,,104.6060226656556,,10.628590839317328,109.94108,,,120.56967083931733,,104.30000000000001,104.56967083931733,,,104.30000000000001,1.5489999999999997
11.577,104.2,0.731,49.3,1.5700000000000005,0.731,137.2,49.3,,,,,104.51144169455456,,10.622719489352768,109.89012,,,120.51283948935276,,104.19999999999999,104.51283948935276,,,104.19999999999999,1.5700000000000005
11.596,104.1,0.734,49.2,1.5890000000000004,0.734,137.1,49.2,,,,,104.35329563800676,,10.599173077807915,109.81367999999999,,,120.41285307780791,,104.1,104.41285307780791,,,104.1,1.5890000000000004
11.617,104.1,0.736,49.2,1.6100000000000012,0.736,137.1,49.2,,,,,104.25691677138548,,10.593397092348987,109.76271999999999,,,120.35611709234897,,104.1,104.35611709234897,,,104.1,1.6100000000000012
11.637,104.0,0.739,49.2,1.6300000000000008,0.739,137.0,49.2,,,,,104.11107564160376,,10.584789851875573,109.68627999999998,,,120.27106985187555,,104.0,104.27106985187555,,,104.0,1.6300000000000008
11.655,104.0,0.742,49.3,1.6479999999999997,0.742,137.0,49.3,,,,,103.9791728189865,,10.590972667148424,109.60983999999999,,,120.20081266714841,,104.0,104.20081266714841,,,104.0,1.6479999999999997
11.675,103.9,0.745,49.3,1.668000000000001,0.745,136.9,49.3,,,,,103.8304275624977,,10.582472484517838,109.53339999999999,,,120.11587248451782,,103.9,104.11587248451782,,,103.9,1.668000000000001
11.695,103.9,0.746,49.3,1.6880000000000006,0.746,136.9,49.3,,,,,103.78050164097452,,10.579653948425257,109.50791999999998,,,120.08757394842524,,103.9,104.08757394842524,,,103.9,1.6880000000000006
11.716,103.8,0.75,49.2,1.7089999999999996,0.75,136.8,49.2,,,,,103.56312898232513,,10.553804519279524,109.40599999999999,,,119.95980451927952,,103.80000000000001,103.95980451927952,,,103.80000000000001,1.7089999999999996
11.736,103.8,0.751,49.2,1.729000000000001,0.751,136.8,49.2,,,,,103.51227804143818,,10.551031869658257,109.38051999999999,,,119.93155186965825,,103.80000000000001,103.93155186965825,,,103.80000000000001,1.729000000000001
11.757,103.8,0.753,49.2,1.75,0.753,136.8,49.2,,,,,103.41005298747368,,10.545508407834443,109.32955999999999,,,119.87506840783443,,103.80000000000001,103.87506840783443,,,103.80000000000001,1.75
11.777,103.7,0.754,49.3,1.7699999999999996,0.754,136.7,49.3,,,,,103.3748542915026,,10.557370385126909,109.30408,,,119.86145038512691,,103.69999999999999,103.86145038512691,,,103.69999999999999,1.7699999999999996
11.798,103.7,0.757,49.3,1.7910000000000004,0.757,136.7,49.3,,,,,103.21985595349324,,10.54913415336102,109.22764,,,119.77677415336102,,103.69999999999999,103.77677415336102,,,103.69999999999999,1.7910000000000004
11.814,103.6,0.758,49.1,1.8070000000000004,0.758,136.6,49.1,,,,,103.1349843337222,,10.517237814795513,109.20215999999999,,,119.7193978147955,,103.6,103.7193978147955,,,103.6,1.8070000000000004
11.835,103.6,0.759,49.0,1.8280000000000007,0.759,136.6,49.0,,,,,103.06614539634468,,10.499940727741986,109.17667999999999,,,119.67662072774198,,103.6,103.67662072774198,,,103.6,1.8280000000000007
11.855,103.6,0.761,49.1,1.8480000000000008,0.761,136.6,49.1,,,,,102.9775116397582,,10.509141353907566,109.12571999999999,,,119.63486135390755,,103.6,103.63486135390755,,,103.6,1.8480000000000008
11.875,103.6,0.762,49.1,1.8680000000000003,0.762,136.6,49.1,,,,,102.92466610018732,,10.506456730001755,109.10023999999999,,,119.60669673000174,,103.6,103.60669673000174,,,103.6,1.8680000000000003
11.896,103.5,0.764,49.2,1.889000000000001,0.764,136.5,49.2,,,,,102.83524214760024,,10.515643739293237,109.04927999999998,,,119.56492373929322,,103.5,103.56492373929322,,,103.5,1.889000000000001
11.916,103.5,0.765,49.2,1.9090000000000007,0.765,136.5,49.2,,,,,102.78192280000944,,10.512971430352428,109.0238,,,119.53677143035242,,103.5,103.53677143035242,,,103.5,1.9090000000000007
11.936,103.5,0.765,49.2,1.9290000000000005,0.765,136.5,49.2,,,,,102.78192280000944,,10.512971430352428,109.0238,,,119.53677143035242,,103.5,103.53677143035242,,,103.5,1.9290000000000005
11.957,103.5,0.767,49.1,1.950000000000001,0.767,136.5,49.1,,,,,102.65776455021071,,10.493139289746338,108.97283999999999,,,119.46597928974633,,103.5,103.46597928974633,,,103.5,1.950000000000001
11.978,103.5,0.768,49.1,1.971,0.768,136.5,49.1,,,,,102.60384728575194,,10.490496815324258,108.94735999999999,,,119.43785681532425,,103.5,103.43785681532425,,,103.5,1.971
11.995,103.4,0.768,49.1,1.9879999999999995,0.768,136.4,49.1,,,,,102.60384728575194,,10.490496815324258,108.94735999999999,,,119.43785681532425,,103.4,103.43785681532425,,,103.4,1.9879999999999995
12.015,103.4,0.769,49.1,2.008000000000001,0.769,136.4,49.1,,,,,102.54975030845902,,10.487861305027865,108.92187999999999,,,119.40974130502785,,103.4,103.40974130502785,,,103.4,2.008000000000001
12.035,103.4,0.769,49.1,2.0280000000000005,0.769,136.4,49.1,,,,,102.54975030845902,,10.487861305027865,108.92187999999999,,,119.40974130502785,,103.4,103.40974130502785,,,103.4,2.0280000000000005
12.056,103.4,0.77,49.1,2.0489999999999995,0.77,136.4,49.1,,,,,102.49547330632636,,10.485232741673258,108.89639999999999,,,119.38163274167324,,103.4,103.38163274167324,,,103.4,2.0489999999999995
12.076,103.4,0.77,49.2,2.069000000000001,0.77,136.4,49.2,,,,,102.51263999984872,,10.499715039574282,108.89639999999999,,,119.39611503957427,,103.4,103.39611503957427,,,103.4,2.069000000000001
12.096,103.4,0.772,49.2,2.0890000000000004,0.772,136.4,49.2,,,,,102.40366755998402,,10.494461232249284,108.84544,,,119.33990123224928,,103.4,103.33990123224928,,,103.4,2.0890000000000004
12.113,103.4,0.772,49.1,2.106,0.772,136.4,49.1,,,,,102.38637797951964,,10.479996387394747,108.84544,,,119.32543638739475,,103.4,103.32543638739475,,,103.4,2.106
12.133,103.4,0.772,49.1,2.1259999999999994,0.772,136.4,49.1,,,,,102.38637797951964,,10.479996387394747,108.84544,,,119.32543638739475,,103.4,103.32543638739475,,,103.4,2.1259999999999994
12.154,103.4,0.772,49.1,2.147,0.772,136.4,49.1,,,,,102.38637797951964,,10.479996387394747,108.84544,,,119.32543638739475,,103.4,103.32543638739475,,,103.4,2.147
12.175,103.4,0.773,49.1,2.168000000000001,0.773,136.4,49.1,,,,,102.3315590308344,,10.477388562442922,108.81996,,,119.29734856244292,,103.4,103.29734856244292,,,103.4,2.168000000000001
12.195,103.4,0.773,49.1,,,,,2.1880000000000006,0.773,136.4,49.1,,101.71684857420938,,,10.477388562442778,108.81996,,119.29734856244278,,,103.4,103.29734856244278,103.4,2.1880000000000006
12.216,103.4,0.772,49.1,,,,,2.209,0.772,136.4,49.1,,101.777311559362,,,10.479996387394607,108.84544,,119.3254363873946,,,103.4,103.3254363873946,103.4,2.209
12.237,103.4,0.772,49.1,,,,,2.2300000000000004,0.772,136.4,49.1,,101.777311559362,,,10.479996387394607,108.84544,,119.3254363873946,,,103.4,103.3254363873946,103.4,2.2300000000000004
12.257,103.4,0.772,49.0,,,,,2.25,0.772,136.4,49.0,,101.75835160670935,,,10.46551991612135,108.84544,,119.31095991612135,,,103.4,103.31095991612135,103.4,2.25
12.277,103.4,0.772,49.0,,,,,2.27,0.772,136.4,49.0,,101.75835160670935,,,10.46551991612135,108.84544,,119.31095991612135,,,103.4,103.31095991612135,103.4,2.27
12.293,103.4,0.772,49.0,,,,,2.286,0.772,136.4,49.0,,101.75835160670935,,,10.46551991612135,108.84544,,119.31095991612135,,,103.4,103.31095991612135,103.4,2.286
12.314,103.4,0.77,48.9,,,,,2.3070000000000004,0.77,136.4,48.9,,101.85996032103708,,,10.456233232391307,108.89639999999999,,119.3526332323913,,,103.4,103.3526332323913,103.4,2.3070000000000004
12.334,103.4,0.77,48.9,,,,,2.327,0.77,136.4,48.9,,101.85996032103708,,,10.456233232391307,108.89639999999999,,119.3526332323913,,,103.4,103.3526332323913,103.4,2.327
12.355,103.3,0.77,48.9,,,,,2.3480000000000008,0.77,136.3,48.9,,101.85996032103708,,,10.456233232391307,108.89639999999999,,119.3526332323913,,,103.30000000000001,103.3526332323913,103.30000000000001,2.3480000000000008
12.375,103.3,0.77,48.9,,,,,2.3680000000000003,0.77,136.3,48.9,,101.85996032103708,,,10.456233232391307,108.89639999999999,,119.3526332323913,,,103.30000000000001,103.3526332323913,103.30000000000001,2.3680000000000003
12.395,103.3,0.769,48.8,,,,,2.388,0.769,136.3,48.8,,101.9011453298368,,,10.444318260562866,108.92187999999999,,119.36619826056285,,,103.30000000000001,103.36619826056285,103.30000000000001,2.388
12.416,103.3,0.77,48.8,,,,,2.4090000000000007,0.77,136.3,48.8,,101.84107837946854,,,10.441715954373988,108.89639999999999,,119.33811595437398,,,103.30000000000001,103.33811595437398,103.30000000000001,2.4090000000000007
12.433,103.3,0.768,48.7,,,,,2.426,0.768,136.3,48.7,,101.9422375640285,,,10.432380935009867,108.94735999999999,,119.37974093500986,,,103.30000000000001,103.37974093500986,103.30000000000001,2.426
12.454,103.4,0.767,48.6,,,,,2.447000000000001,0.767,136.4,48.6,,101.98323712867511,,,10.420421187303441,108.97283999999999,,119.39326118730344,,,103.4,103.39326118730344,103.4,2.447000000000001
12.474,103.4,0.767,48.5,,,,,2.4670000000000005,0.767,136.4,48.5,,101.96447188394929,,,10.40584231719533,108.97283999999999,,119.37868231719531,,,103.4,103.37868231719531,103.4,2.4670000000000005
12.494,103.4,0.764,48.4,,,,,2.487,0.764,136.4,48.4,,102.12430236219213,,,10.399035750434743,109.04927999999998,,119.44831575043473,,,103.4,103.44831575043473,103.4,2.487
12.514,103.4,0.763,48.3,,,,,2.507,0.763,136.4,48.3,,102.16489363531169,,,10.387006378899772,109.07476,,119.46176637889977,,,103.4,103.46176637889977,103.4,2.507
12.535,103.4,0.763,48.2,,,,,2.5280000000000005,0.763,136.4,48.2,,102.14631079306936,,,10.372356597947558,109.07476,,119.44711659794756,,,103.4,103.44711659794756,103.4,2.5280000000000005
12.555,103.4,0.762,48.0,,,,,2.548,0.762,136.4,48.0,,102.16827698319057,,,10.345601151085344,109.10023999999999,,119.44584115108533,,,103.4,103.44584115108533,103.4,2.548
12.575,103.4,0.761,47.9,,,,,2.568,0.761,136.4,47.9,,102.20876133737116,,,10.33348452723349,109.12571999999999,,119.45920452723348,,,103.4,103.45920452723348,103.4,2.568
12.593,103.4,0.759,47.8,,,,,2.5860000000000003,0.759,136.4,47.8,,102.30791014977626,,,10.323927717076545,109.17667999999999,,119.50060771707653,,,103.4,103.50060771707653,103.4,2.5860000000000003
12.613,103.4,0.757,47.6,,,,,2.606,0.757,136.4,47.6,,102.38815906400544,,,10.299575264777966,109.22764,,119.52721526477796,,,103.4,103.52721526477796,103.4,2.606
12.633,103.4,0.754,47.4,,,,,2.6259999999999994,0.754,136.4,47.4,,102.5260831292687,,,10.277711399145494,109.30408,,119.58179139914549,,,103.4,103.58179139914549,103.4,2.6259999999999994
12.654,103.4,0.753,47.2,,,,,2.647,0.753,136.4,47.2,,102.54755956673216,,,10.250591496828722,109.32955999999999,,119.5801514968287,,,103.4,103.5801514968287,103.4,2.647
12.675,103.4,0.751,47.0,,,,,2.668000000000001,0.751,136.4,47.0,,102.62671283623644,,,10.225959033361542,109.38051999999999,,119.60647903336154,,,103.4,103.60647903336154,103.4,2.668000000000001
12.694,103.4,0.75,46.8,,,,,2.687000000000001,0.75,136.4,46.8,,102.64804188220197,,,10.198670639254614,109.40599999999999,,119.6046706392546,,,103.4,103.6046706392546,103.4,2.687000000000001
12.715,103.4,0.746,46.5,,,,,2.708,0.746,136.4,46.5,,102.82300738777928,,,10.16396319538314,109.50791999999998,,119.67188319538312,,,103.4,103.67188319538312,103.4,2.708
12.736,103.4,0.743,46.2,,,,,2.729000000000001,0.743,136.4,46.2,,102.93969898027248,,,10.126478403100295,109.58435999999999,,119.71083840310028,,,103.4,103.71083840310028,103.4,2.729000000000001
12.752,103.4,0.742,46.0,,,,,2.745000000000001,0.742,136.4,46.0,,102.96060825747792,,,10.098824576273678,109.60983999999999,,119.70866457627366,,,103.4,103.70866457627366,103.4,2.745000000000001
12.772,103.4,0.74,45.9,,,,,2.765000000000001,0.74,136.4,45.9,,103.05558018601774,,,10.08877569225558,109.6608,,119.74957569225558,,,103.4,103.74957569225558,103.4,2.765000000000001
12.793,103.4,0.737,45.7,,,,,2.786,0.737,136.4,45.7,,103.18824638644598,,,10.06606115789939,109.73723999999999,,119.80330115789937,,,103.4,103.80330115789937,103.4,2.786
12.814,103.5,0.734,45.6,,,,,2.8070000000000004,0.734,136.5,45.6,,103.33728302491735,,,10.058494390807846,109.81367999999999,,119.87217439080784,,,103.5,103.87217439080784,103.5,2.8070000000000004
12.835,103.5,0.732,45.4,,,,,2.828000000000001,0.732,136.5,45.4,,103.41279260723744,,,10.03307453676117,109.86464,,119.89771453676116,,,103.5,103.89771453676116,103.5,2.828000000000001
12.854,103.5,0.729,45.4,,,,,2.8469999999999995,0.729,136.5,45.4,,103.5769536912359,,,10.040763295821572,109.94108,,119.98184329582158,,,103.5,103.98184329582158,103.5,2.8469999999999995
12.875,103.6,0.726,45.3,,,,,2.8680000000000003,0.726,136.6,45.3,,103.7224438672974,,,10.033164181610259,110.01751999999999,,120.05068418161025,,,103.6,104.05068418161025,103.6,2.8680000000000003
12.895,103.6,0.723,45.3,,,,,2.888,0.723,136.6,45.3,,103.88340285189854,,,10.040950221194196,110.09396,,120.13491022119419,,,103.6,104.13491022119419,103.6,2.888
12.912,103.7,0.72,45.2,,,,,2.905000000000001,0.72,136.7,45.2,,104.02605879064272,,,10.033378621563655,110.17039999999999,,120.20377862156364,,,103.69999999999999,104.20377862156364,103.69999999999999,2.905000000000001
12.931,103.8,0.717,45.2,,,,,2.9239999999999995,0.717,136.8,45.2,,104.183847735048,,,10.04126317243036,110.24683999999999,,120.28810317243035,,,103.80000000000001,104.28810317243035,103.80000000000001,2.9239999999999995
12.953,103.8,0.713,45.2,,,,,2.946,0.713,136.8,45.2,,104.3916431077912,,,10.051876072597059,110.34876,,120.40063607259705,,,103.80000000000001,104.40063607259705,103.80000000000001,2.946
