time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
7.63,-0.09,-0.06,-1.37,-1.06
7.65,-0.08,-0.06,-1.12,-0.95
7.66,0.03,-0.06,0.59,-0.83
7.67,0.05,-0.04,0.59,-0.72
7.69,-0.14,-0.06,-2.35,-0.59
7.7,-0.08,-0.06,-1.12,-0.49
7.71,-0.09,-0.06,-1.37,-0.38
7.73,0.08,-0.06,1.32,-0.27
7.74,0,-0.06,-0.39,-0.15
7.75,-0.13,-0.04,-2.35,-0.05
7.76,-0.09,-0.14,-1.12,0.08
7.78,0.2,0.43,5.96,0
7.79,0.52,0.42,11.34,1.26
7.8,0.62,0.96,14.52,1.34
7.82,0.91,1.26,21.85,2.53
7.83,1.23,1.53,28.2,3.25
7.84,1.46,1.64,32.36,3.88
7.86,1.7,1.76,35.78,4.21
7.87,1.57,1.79,33.82,4.56
7.88,1.62,1.85,34.8,4.72
7.9,1.64,1.83,35.04,4.94
7.91,1.74,1.84,36.51,5
7.92,1.81,1.81,37,5.12
7.94,1.61,1.84,33.82,5.17
7.95,1.65,1.83,35.04,5.33
7.96,1.65,1.81,34.8,5.4
7.98,1.79,1.83,36.75,5.47
7.99,1.79,1.83,36.75,5.59
8,1.59,1.81,33.58,5.69
8.02,1.65,1.81,34.8,5.76
8.03,1.63,1.8,34.56,5.85
8.04,1.8,1.79,36.75,5.92
8.06,1.73,1.78,35.29,5.99
8.07,1.57,1.78,33.09,6.05
8.08,1.62,1.76,34.07,6.14
8.1,1.62,1.75,33.82,6.2
8.11,1.78,1.73,36.02,6.26
8.12,1.64,1.72,33.58,6.3
8.13,1.53,1.7,32.36,6.36
8.15,1.57,1.68,32.6,6.41
8.16,1.56,1.68,32.6,6.44
8.17,1.7,1.67,34.56,6.53
8.19,1.52,1.63,31.38,6.58
8.2,1.47,1.63,30.89,6.58
8.21,1.48,1.61,31.13,6.66
