time(s),p(kPa),Voltage(V)
7.37,0.44,4.82
7.38,0.47,4.73
7.39,0.51,4.67
7.41,0.54,4.7
7.42,0.57,4.72
7.43,0.62,4.68
7.44,0.65,4.74
7.45,0.66,4.75
7.47,0.69,4.6
7.48,0.74,4.54
7.49,0.79,4.59
7.5,0.84,4.65
7.51,0.87,4.7
7.53,0.9,4.68
7.54,0.92,4.58
7.55,0.95,4.47
7.56,1.03,4.36
7.57,1.09,4.62
7.59,1.13,4.72
7.6,1.13,4.67
7.61,1.15,4.38
7.62,1.23,4.27
7.63,1.29,4.43
7.65,1.34,4.51
7.66,1.37,4.5
7.67,1.41,4.43
7.68,1.43,4.38
7.7,1.5,4.2
7.71,1.57,4.27
7.72,1.62,4.41
7.73,1.65,4.42
7.74,1.68,4.31
7.76,1.73,4.14
7.77,1.8,4.12
7.78,1.86,4.25
7.79,1.89,4.3
7.8,1.94,4.12
7.82,2,4.09
7.83,2.06,4.14
7.84,2.11,4.18
7.85,2.16,4.14
7.86,2.22,4.08
7.88,2.27,4.14
7.89,2.33,4.1
7.9,2.39,4.14
7.91,2.44,4.14
7.92,2.5,4.13
7.94,2.55,4.16
7.95,2.6,4.09
7.96,2.66,4.04
7.97,2.72,4.1
7.98,2.79,4.12
8,2.84,4.2
8.01,2.88,4.15
8.02,2.93,4.03
8.03,3,4.01
8.04,3.07,4.09
8.06,3.12,4.19
8.07,3.17,4.14
8.08,3.22,4.1
8.09,3.29,4.05
8.1,3.35,4.16
8.12,3.39,4.19
8.13,3.45,4.08
8.14,3.51,4.11
8.15,3.56,4.14
8.16,3.63,4.08
8.18,3.68,4.22
8.19,3.73,4.18
8.2,3.78,4.15
8.21,3.83,4.09
8.22,3.89,4.09
8.24,3.95,4.14
8.25,4,4.16
8.26,4.05,4.14
8.27,4.1,4.15
8.28,4.15,4.13
8.3,4.2,4.09
8.31,4.24,4.08
8.32,4.32,4.1
8.33,4.37,4.21
8.35,4.4,4.21
8.36,4.44,4.14
8.37,4.49,4.09
8.38,4.54,4.08
8.39,4.6,4.09
8.4,4.65,4.18
8.42,4.68,4.22
8.43,4.72,4.14
8.44,4.77,4.1
8.45,4.79,4.13
8.47,4.86,4.01
8.48,4.92,4.13
8.49,4.95,4.24
8.5,4.98,4.22
8.51,5.01,4.12
8.52,5.06,4.1
8.54,5.1,4.16
8.55,5.12,4.14
8.56,5.19,4.08
8.57,5.22,4.23
8.59,5.25,4.23
8.6,5.27,4.15
8.61,5.31,4.12
8.62,5.34,4.14
8.63,5.38,4.15
8.65,5.39,4.18
8.66,5.43,4.09
8.67,5.47,4.13
8.68,5.5,4.17
8.69,5.53,4.22
8.71,5.54,4.21
8.72,5.58,4.13
8.73,5.59,4.2
8.74,5.63,4.13
8.75,5.65,4.21
8.77,5.67,4.23
8.78,5.69,4.25
8.79,5.7,4.2
8.8,5.72,4.15
8.81,5.75,4.2
8.83,5.77,4.25
8.84,5.8,4.3
8.85,5.8,4.35
8.86,5.81,4.28
8.88,5.82,4.27
8.89,5.85,4.27
8.9,5.86,4.36
8.91,5.87,4.38
8.92,5.88,4.4
8.94,5.88,4.42
8.95,5.89,4.39
8.96,5.89,4.43
8.97,5.91,4.41
8.98,5.91,4.46
8.99,5.93,4.45
9.01,5.93,4.59
