time(s),p(kPa),Voltage(V)
10.92,0.00,5.09
10.94,0.00,5.07
10.95,0.00,4.46
10.96,0.00,4.34
10.98,0.00,5.08
10.99,0.00,5.20
11.00,0.00,4.49
11.02,0.00,4.39
11.03,0.00,5.26
11.04,0.00,5.41
11.05,0.00,4.72
11.07,0.00,4.51
11.08,0.00,5.04
11.09,0.00,5.34
11.11,0.00,4.79
11.12,0.00,4.60
11.13,0.00,5.03
11.15,0.00,5.23
11.16,0.00,4.81
11.17,0.00,4.77
11.18,0.00,4.98
11.20,0.00,5.07
11.21,0.00,4.80
11.22,0.00,4.79
11.24,0.00,4.89
11.25,0.00,5.01
11.26,0.00,4.88
11.28,0.00,4.88
11.29,0.00,5.02
11.30,0.00,5.03
11.31,0.00,4.92
11.33,0.00,4.95
11.34,0.00,4.98
11.35,0.00,5.01
11.37,0.00,5.05
11.38,0.00,5.10
11.39,0.00,5.15
11.41,0.00,5.20
11.42,0.00,5.27
11.43,0.00,5.21
11.44,0.00,5.40
11.46,0.00,5.48
11.47,0.00,5.44
11.48,0.00,5.53
11.50,0.00,5.50
11.51,0.00,5.59
11.52,0.00,5.57
11.54,0.00,5.57
11.55,0.00,5.68
11.56,0.00,5.67
11.58,0.00,5.68
11.59,0.00,5.68
11.60,0.00,5.69
11.61,0.00,5.70
11.63,0.00,5.73
11.64,0.00,5.75
11.65,0.00,5.66
11.67,0.00,5.57
11.68,0.00,5.61
11.69,0.00,5.78
11.71,0.00,5.84
11.72,0.00,5.63
11.73,0.00,5.69
11.75,0.00,6.00
11.76,0.00,5.96
11.77,0.00,5.64
11.78,0.00,5.47
11.80,0.00,5.94
11.81,0.00,6.14
11.82,0.00,5.60
11.84,0.00,5.34
11.85,0.00,6.05
11.86,0.00,6.27
11.88,0.00,5.64
11.89,0.00,5.26
11.90,0.00,6.10
11.92,0.00,6.32
11.93,0.00,5.73
11.94,0.00,5.11
11.95,0.00,5.85
11.97,0.00,6.35
11.98,0.00,5.87
11.99,0.00,5.27
12.01,0.00,5.92
12.02,0.00,6.53
12.03,0.00,5.94
12.05,0.00,5.25
12.06,0.00,5.89
12.07,0.00,6.52
12.09,0.00,6.06
12.10,0.00,5.39
12.11,0.00,5.80
12.12,0.00,6.55
12.14,0.00,6.37
12.15,0.00,5.56
12.16,0.00,5.49
12.18,0.00,6.52
12.19,0.00,6.58
12.20,0.00,5.78
12.22,0.00,5.49
12.23,0.00,6.26
12.24,0.00,6.69
12.26,0.00,6.02
12.27,0.00,5.50
12.28,0.00,6.04
12.29,0.00,6.72
12.31,0.00,6.44
12.32,0.00,5.66
12.33,0.00,5.83
12.35,0.00,6.66
12.36,0.00,6.62
12.37,0.00,5.96
12.39,0.00,5.77
12.40,0.00,6.48
12.41,0.00,6.69
12.42,0.00,6.15
12.44,0.00,5.87
12.45,0.00,6.44
12.46,0.00,6.89
12.48,0.00,6.26
12.49,0.00,5.71
12.50,0.00,6.16
12.52,0.00,6.87
12.53,0.00,6.71
12.54,0.00,6.04
12.56,0.00,6.00
12.57,0.00,6.71
12.58,0.00,6.79
12.59,0.00,6.24
12.61,0.00,6.10
12.62,0.00,6.55
12.63,0.00,6.75
12.65,0.00,6.46
12.66,0.00,6.29
12.67,0.00,6.49
12.69,0.00,6.59
12.70,0.00,6.52
12.71,0.00,6.35
